Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Mousa Dembélé;be BEL;MF;Tottenham;29;1987;30;24;2 056;22.août;1;1;2;1;0;0;5;0;0.04;0.04;0.09;0.04;0.09
Jason Denayer;be BEL;DF;Sunderland;21;1995;24;22;1 877;20.sept;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00
Mike van der Hoorn;nl NED;DF;Swansea City;23;1992;8;7;662;07.avr;1;0;1;1;0;0;1;0;0.14;0.00;0.14;0.14;0.14
Gerard Deulofeu;es ESP;FW MF;Everton;22;1994;11;4;460;05.janv;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00
Eric Dier;eng ENG;DF MF;Tottenham;22;1994;36;34;3 043;33.8;2;1;3;2;0;0;6;0;0.06;0.03;0.09;0.06;0.09
Adama Diomande;no NOR;FW;Hull City;26;1990;22;13;1 171;13.0;2;0;2;2;0;0;1;0;0.15;0.00;0.15;0.15;0.15
Papy Djilobodji;sn SEN;DF;Sunderland;27;1988;18;17;1 578;17.mai;0;0;0;0;0;0;6;1;0.00;0.00;0.00;0.00;0.00
Abdoulaye Doucouré;ml MLI;FW MF;Watford;23;1993;20;14;1 361;15.janv;1;0;1;1;0;0;4;0;0.07;0.00;0.07;0.07;0.07
Stewart Downing;eng ENG;FW MF;Middlesbrough;32;1984;30;24;2 214;24.juin;1;3;4;1;0;0;1;0;0.04;0.12;0.16;0.04;0.16
Danny Drinkwater;eng ENG;MF;Leicester City;26;1990;29;27;2 466;27.avr;1;2;3;1;0;0;6;0;0.04;0.07;0.11;0.04;0.11
Nathan Dyer;eng ENG;FW MF;Swansea City;28;1987;8;3;214;02.avr;0;1;1;0;0;0;0;0;0.00;0.42;0.42;0.00;0.42
